id;active;type;name;externalId;epgProvider;epgProviderId;mdbMatchTags;enableImageGenerator;order;lcn;testing;public;availability;fsAvailability;parentLock;malfunction;timeshiftDuration;timeshiftAvailable;timeshiftBeforeEvent;timeshiftAfterEvent;drm;directAccess;audio;message;channelGroup;description;hd;hack;dvbMrl;tags;epgLang;useStreamServer;freeSeekSeconds;freeSeekStartOver;freeSeekPvr;epgAllowedTypes;parallelStreamGroup
Audio_Globovision;1;tv;Audio_Globovision;AUDIO-GLOBOVISION_stream_on;\N;\N;,movie,dummyShow,dummySeries,;0;183;\N;0;1;cable;\N;0;\N;0;0;0;0;0;0;\N;\N;Musicales;;0;;\N;Auditoria;\N;1;0;0;0;;1
Audio_Meridiano;1;radio;Audio_Meridiano;AUDIO-Meridiano_stream_2j;\N;\N;,movie,dummyShow,dummySeries,;0;184;\N;0;1;cable;\N;0;\N;0;0;0;0;0;0;\N;\N;Musicales;;0;;\N;Auditoria;\N;1;0;0;0;;1
AXN;1;tv;AXN FHD;AXN_stream_lw;14;479;,movie,dummyShow,dummySeries,;1;40;69;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Peliculas;;1;;\N;1440,DRM;es;1;0;0;0;;1
AYE;1;tv;A&E FHD;AYE_stream_j3;14;455;,movie,dummyShow,dummySeries,;1;47;76;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Series;;1;;\N;1440,DRM;es;1;0;0;0;;1
A_LA_COCINA;1;tv;A LA COCINA HD;A_LA_COCINA_stream_r4;14;6678;,movie,dummyShow,dummySeries,;1;247;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa;\N;Variedades;;1;;\N;1440,DRM;es;1;0;0;0;;1
BABYTV;1;tv;BABY TV;BABYTV_stream_rs;14;695;,movie,dummyShow,dummySeries,;1;87;133;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Infantiles;;0;;\N;1440,DRM;es;1;0;0;0;;1
BOLIVIATV;0;tv;MAS NETWORK;BOLIVIA_TV_stream_ho;14;9151;,movie,dummyShow,dummySeries,;1;174;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Nacionales;;0;;\N;1440,DRM;es;1;0;0;0;;1
BOLIVISION;1;tv;BOLIVISION;BOLIVISION_TV_stream_1i;14;416;,movie,dummyShow,dummySeries,;1;173;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Nacionales;;0;;\N;1440,DRM;es;1;0;0;0;;1
BYM_2_INTER;0;tv;BYM ELIMINATORIAS CONMEBOL HD;BYM_SPORT_2_stream_4l;14;8978;;1;233;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;spa;\N;Deportes;;1;;\N;1440,DRM,Inter;es;1;0;0;0;;1
BYM_3_INTER;0;tv;BYM ELIMINATORIAS CONMEBOL HD;BYM_SPORT_3_stream_80;\N;\N;;0;235;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;spa;\N;Deportes;;1;;\N;1440,DRM,Inter;\N;1;0;0;0;;1
BYM_SPORTS_INTER;1;tv;BYM SPORT HD;BYM_SPORTS_INTER_stream_ib;14;7263;,movie,dummyShow,dummySeries,;1;209;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Deportes;;1;;\N;1440,DRM,Inter;es;1;0;0;0;;1
CANAL1;1;tv;CANAL I HD;CANAL1_stream_pt;14;967;,movie,dummyShow,dummySeries,;1;12;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Nacionales;;1;;\N;1440,DRM;es;1;0;0;0;;1
CANAL11;1;tv;CANAL ONCE HD;CANAL11_stream_xb;14;7546;,movie,dummyShow,dummySeries,;1;13;17;0;1;NetUno;\N;0;\N;720;720;1;2;1;0;\N;\N;Locales;;1;;\N;DRM,720;es;1;0;0;0;;1
CANAL13;1;tv;CANAL 13;CANAL_13_CHILE_stream_rw;14;1398;,movie,dummyShow,dummySeries,;1;168;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Nacionales;;1;;\N;DRM,Inter;es;1;0;0;0;;1
CANALINFANTIL;1;tv;CANAL INFANTIL HD;CANALINFANTIL_stream_na;14;5258;,movie,dummyShow,dummySeries,;1;88;134;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Infantiles;;1;;\N;1440,DRM;es;1;0;0;0;;1
CANALINFORMATIVO;1;tv;CANAL INFORMATIVO;CANALINFORMATIVO_stream_7f;18;1;,movie,dummyShow,dummySeries,;0;166;\N;0;1;NetUno;\N;0;\N;720;720;1;2;0;0;\N;\N;Nacionales;;1;;\N;DRM,Inter;es;1;0;0;0;;1
CARTOONITO;1;tv;CARTOONITO;CARTOONITO_stream_7c;14;453;,movie,dummyShow,dummySeries,;1;85;131;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Infantiles;;0;;\N;1440,DRM;es;1;0;0;0;;1
Cartoonito_HD_INTER;1;tv;CARTOONITO HD;Cartoonito_HD_INTER_stream_1p;14;453;,movie,dummyShow,dummySeries,;1;0;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Infantiles;;1;;\N;1440,DRM;es;1;0;0;0;;1
